吉林频道,#genre#
延边卫视,http://223.145.224.183:8000/udp/239.76.254.112:9000
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
延边卫视,http://223.145.224.103:8000/udp/239.76.254.112:9000
延边卫视,http://61.138.128.226:19901/tsfile/live/1008_1.m3u8
延边卫视,http://222.169.41.80:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
延边卫视,http://111.43.126.240:9003/hls/65/index.m3u8
吉林乡村,http://satellitepull.cnr.cn/live/wxjlxcgb/playlist.m3u8
吉林生活,http://36.129.204.117:9003//hls/22/index.m3u8
吉林都市,http://36.129.204.117:9003//hls/20/index.m3u8
吉林乡村,http://36.129.204.117:9003//hls/23/index.m3u8
长白朝语,http://hplayer1.juyun.tv:80/camera/11344136.m3u8
