影视轮播频道,#genre#
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
哈尔滨影视,http://111.43.126.240:9003/hls/5/index.m3u8
CHC电影,http://120.198.101.106:9901/tsfile/live/1053_1.m3u8?key=txiptv
辽宁影视剧,http://120.76.248.139/live/bfgd/4200000070.m3u8
江苏影视,https://mgtv.ottiptv.cc/mg/626064697.m3u8?userid=5559462299&sign=0db41bc48abf97ada4751a7a65d029ec118be93bc0e34136e6593d4b11fdff6990ead5f32a251b26c36ab69e60d8f6148066f531f72d3ac80ac898f7f2c61b1ce21628f740cf824fd289ec50321936f363&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
江苏影视,http://gslbmgsplive.miguvideo.com/wd_r2/jstv/jsyingshi/600/index.m3u8?msisdn=202512021202090ea8842dce074b02a340ad5fb8ba3820&mdspid=&spid=699067&netType=0&sid=5500260517&pid=2028597139&timestamp=20251202120209&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=626064697&ParentNodeID=-99&assertID=5500260517&client_ip=218.28.233.106&SecurityKey=20251202120209&promotionId=&mvid=5100186424&mcid=500020&playurlVersion=ZQ-A1-8.11.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=65b7768282a607138922126b348498fd&ddCalcu=d6f5e8b0976470864832b8622a1620279183
经典电影,http://120.238.94.10:9901/tsfile/live/1040_1.m3u8
CHC电影,http://183.237.95.108:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
经典电影,http://lxajh.top/tv/douyu.php?id=74374
CHC电影,http://218.15.183.23:9901/tsfile/live/23044_1.m3u8
