福建频道,#genre#
漳浦综合,http://220.161.87.62:8800/hls/0/index.m3u8
厦门卫视,http://59.32.97.161:9901/tsfile/live/0129_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://223.145.224.183:8000/udp/239.76.245.231:1234
厦门卫视,http://223.145.224.208:8000/udp/239.76.245.231:1234
福建新闻,http://110.81.206.138:49231/tsfile/live/23025_1.m3u8?key=txiptv&playlive=1&authid=0
福建电视剧,http://110.81.206.138:49231/tsfile/live/23026_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://125.42.149.115:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
漳浦综合,http://220.161.87.62:8090/hls/0/index.m3u8
厦门卫视,http://123.10.79.62:808/hls/69/index.m3u8
福州生活,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8
福建少儿,http://110.81.206.138:49231/tsfile/live/23030_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://125.42.150.193:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
福建经济,http://satellitepull.cnr.cn/live/wx32fjdnjjgb/playlist.m3u8
厦门卫视,http://221.213.91.64:9901/tsfile/live/0109_2.m3u8?key=txiptv&playlive=0&authid=0
厦门卫视,http://221.213.91.117:9901/tsfile/live/0109_2.m3u8?key=txiptv&playlive=0&authid=0
福建综合,https://p2.vzan.com/slowlive/485365200293316089/live.m3u8
福州综合,http://live.zohi.tv/video/s10001-fztv-1/index.m3u8
云霄综合,https://live.zzyxxw.com:2443/live/xwzh.m3u8
福建新闻,http://satellitepull.cnr.cn/live/wx32fjxwgb/playlist.m3u8
福建综合,http://110.81.206.138:49231/tsfile/live/23023_1.m3u8?key=txiptv&playlive=1&authid=0
三明新闻综合,http://ls.qingting.fm/live/4885.m3u8
福建新闻,http://110.80.17.38:9901/tsfile/live/0122_1.m3u8
厦门卫视,http://110.80.17.38:9901/tsfile/live/0128_1.m3u8
福建新闻,http://110.80.17.38:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
