福建频道,#genre#
厦门卫视,http://183.11.239.36:808/hls/17/index.m3u8
厦门卫视,http://125.42.150.152:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://59.32.97.103:9901/tsfile/live/0129_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://223.145.224.208:8000/udp/239.76.245.231:1234
漳浦综合,http://220.161.87.62:8090/hls/0/index.m3u8
漳浦综合,http://220.161.87.62:8800/hls/0/index.m3u8
漳浦综合,http://220.161.87.62:8090/hls/0/index.m3u8?zfud
厦门卫视,http://223.145.224.183:8000/udp/239.76.245.231:1234
厦门卫视,http://110.80.17.38:9901/tsfile/live/0128_1.m3u8
福建新闻,http://110.80.17.38:9901/tsfile/live/0122_1.m3u8
福州生活,http://live.zohi.tv:80/video/s10001-fztv-3/index.m3u8
三明新闻综合,http://ls.qingting.fm/live/4885.m3u8
厦门卫视,http://118.212.71.109:11111/bptv/10000100000000050000000003887454.m3u8
厦门卫视,http://221.213.91.219:9901/tsfile/live/0109_2.m3u8?key=txiptv&playlive=0&authid=0
晋江电视台,http://stream.jinjiang.tv/1/sd/live.m3u8?zfud
福建新闻,http://satellitepull.cnr.cn/live/wx32fjxwgb/playlist.m3u8
福建经济,http://satellitepull.cnr.cn/live/wx32fjdnjjgb/playlist.m3u8
福建新闻,http://110.81.206.138:49231/tsfile/live/23025_1.m3u8?key=txiptv&playlive=1&authid=0
福建综合,http://110.81.206.138:49231/tsfile/live/23023_1.m3u8?key=txiptv&playlive=1&authid=0
福建电视剧,http://110.81.206.138:49231/tsfile/live/23026_1.m3u8?key=txiptv&playlive=1&authid=0
福建少儿,http://110.81.206.138:49231/tsfile/live/23030_1.m3u8?key=txiptv&playlive=1&authid=0
