数字频道,#genre#
黑莓电影,https://epg.pw/stream/ffcb6572863f0745a7369fbd9d901f1dfd0ab8fab8bad8bebb4e01c90b303c47.m3u8
黑莓动画,http://api2.52tb.xyz/info?id=173&token=20230218qkyjia
魅力足球,http://120.76.248.139/live/bfgd/4200000633.m3u8
快乐垂钓,http://wouu.net:9977/udp/239.93.1.151:5140
金鹰纪实,http://58.57.40.22:9901/tsfile/live/1070_1.m3u8
七彩戏剧,http://nas.hssvm.com:8888/udp/225.1.1.86:5002
都市剧场,http://222.179.42.129:8181/hls1.m3u8?zzhongqd
天元围棋,http://wouu.net:9977/udp/239.93.42.55:5140
新视觉,http://120.76.248.139/live/bfgd/4200000249.m3u8
快乐垂钓,http://nas.hssvm.com:8888/udp/225.1.2.18:5002
睛彩篮球,http://www.xzbn.site:35455/itv/3000000020000011529.m3u8?cdn=FifastbLive
睛彩竞技,http://www.xzbn.site:35455/itv/3000000020000011528.m3u8?cdn=FifastbLive
黑莓动画,http://api3.52tb.xyz/info?id=173&token=20221127jxwhhemby
金鹰纪实,http://183.11.239.36:808/hls/171/index.m3u8
都市剧场,http://222.179.155.21:1935/ch1.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD]
金鹰纪实,http://121.19.134.222:808/tsfile/live/1037_1.m3u8
都市剧场,http://183.237.95.108:9901/tsfile/live/1069_1.m3u8?key=txiptv&playlive=0&authid=0
劲爆体育,http://120.238.94.82:9901/tsfile/live/1086_1.m3u8
金鹰纪实,http://120.238.94.10:9901/tsfile/live/1059_1.m3u8
劲爆体育,http://120.198.101.106:9901/tsfile/live/1086_1.m3u8?key=txiptv
劲爆体育,http://183.237.95.108:9901/tsfile/live/1074_1.m3u8?key=txiptv&playlive=0&authid=0
