港台频道,#genre#
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
HOY77,http://j.s.bkpcp.top/jj/77hoy
凤凰资讯,https://k44991.kylintv.tv/live/pxinhd_iphone.m3u8
凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8
美亚电影,http://108.181.20.197/livehttpplay?channel_id=20197
美亚电影,http://50.7.234.10:8278/meiyamovie_twn/playlist.m3u8?tid=MD3D6323299363232993&ct=18392&tsum=3f73f541d33abe71140d28ada99a071b
美亚电影,http://198.16.100.186:8278/meiyamovie_twn/playlist.m3u8?tid=MFEF1001328410013284&ct=19226&tsum=9839709ca0f37641c5d1ba962c3bc739
美亚电影,http://50.7.234.10:8278/meiyamovie_twn/playlist.m3u8?tid=MFEF1001328410013284&ct=19226&tsum=9839709ca0f37641c5d1ba962c3bc739
美亞電影台,http://j.s.bkpcp.top/jj/mydy3
美亚电影,http://j.s.bkpcp.top/js/mydy3
天映经典,http://j.s.bkpcp.top/js/tyjd3
千禧经典台,http://j.s.bkpcp.top/js/qxjdt
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
明珠台,http://j.s.bkpcp.top/jj/zzt
天映经典,http://j.s.bkpcp.top/js/tyjd
美亚电影,http://j.s.bkpcp.top/js/mydy
TVB翡翠台,http://j.s.bkpcp.top/jj/fct
TVB星河,http://j.s.bkpcp.top/js/xht
美亚电影,http://j.s.bkpcp.top/js/mydy2
天映经典,http://j.s.bkpcp.top/js/tyjd2
Astro QJ,http://j.s.bkpcp.top/jj/astroqj
TVB星河,http://j.s.bkpcp.top/js/xht2
龙华电影,http://j.s.bkpcp.top/js/lhdy
中天综合,http://ali.hlspull.yximgs.com/live/tboxpropqqtvvqqqyquuqqfvbscvqdqtwqfsqqsqqqcvuyqemqeqtxw.flv
TVB翡翠台,http://ali.hlspull.yximgs.com/live/tboxprofhwwqpthqyqtqqqxcxbfhqqfqvhdtqdvbtvqsqxqfsqqcvbctvbfc.flv
东森新闻,http://ali.hlspull.yximgs.com/live/tboxpromhqttuqqcvbyquoqdqqeqywefqqfbxfbxxvbqqqlqqhqsxw.flv
龙华洋片,http://j.s.bkpcp.top/js/lhyp
Astro AEC,http://j.s.bkpcp.top/js/aaec
美亚电影,http://j.s.bkpcp.top/js/mydy1
美亚电影,http://j.s.bkpcp.top/js/mydy4
爱奇艺,http://j.s.bkpcp.top/js/aqy
台视新闻,http://ali.hlspull.yximgs.com/live/tboxproncqqtqqudtqlqcvbcvntqqqsfwetqfvcbcxvdqbqfflvcqtsxw.flv
翡翠台,http://j.s.bkpcp.top/jj/fct
TVB翡翠台,http://goo.bkpcp.top/mg/tvbfct
天映经典,http://j.s.bkpcp.top/jj/tyjd
天映经典,http://j.s.bkpcp.top/js/tyjd1
龙华电影,http://j.s.bkpcp.top/js/lhdy
TVB星河,http://j.s.bkpcp.top/js/xht1
天映经典,http://j.s.bkpcp.top/js/tyjd5
Astro QJ,http://j.s.bkpcp.top/js/aqj
龙华偶像,http://j.s.bkpcp.top/js/lhox
