港台频道,#genre#
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
HOY77,http://j.s.bkpcp.top/jj/77hoy
Astro QJ,http://j.s.bkpcp.top/jj/astroqj
美亚电影,http://j.s.bkpcp.top/js/mydy1
千禧经典台,http://j.s.bkpcp.top/js/qxjdt
Astro AEC,http://j.s.bkpcp.top/js/aaec
美亚电影,http://108.181.20.197/livehttpplay?channel_id=20197
美亚电影,http://50.7.234.10:8278/meiyamovie_twn/playlist.m3u8?tid=MFEF1001328410013284&ct=19226&tsum=9839709ca0f37641c5d1ba962c3bc739
民视,http://37.27.111.214:8080/live/6/hls.m3u8
天映经典,http://j.s.bkpcp.top/jj/tyjd
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklistw70581102.m3u8
美亚电影,http://j.s.bkpcp.top/js/mydy2
TVB翡翠台,http://j.s.bkpcp.top/jj/fct
凤凰中文,http://119.125.134.153:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
翡翠台,http://119.125.134.153:9901/tsfile/live/faacts/1035_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://223.145.224.136:8000/udp/239.76.246.135:1234
凤凰中文,http://223.145.224.136:8000/udp/239.76.253.135:9000
凤凰中文,http://223.145.224.117:8000/udp/239.76.253.135:9000
凤凰中文,http://223.145.224.117:8000/udp/239.76.246.134:1234
凤凰资讯,http://223.145.224.117:8000/udp/239.76.246.135:1234
凤凰中文,http://223.145.224.136:8000/udp/239.76.246.134:1234
凤凰资讯,http://223.145.224.117:8000/udp/239.76.253.134:9000
TVB星河,http://j.s.bkpcp.top/js/xht2
龙华电影,http://j.s.bkpcp.top/js/lhdy
TVB翡翠台,http://goo.bkpcp.top/mg/tvbfct
美亚电影,http://j.s.bkpcp.top/js/mydy3
重温经典,http://120.76.248.139/live/bfgd/4200000635.m3u8
美亚电影,http://zhiboapi.feylen.top/fltv/js/cat.php?id=Z2F0ODg4LnBocD9pZD3imr1I5LiAMjEw
天映经典,http://j.s.bkpcp.top/js/tyjd
天映经典,http://j.s.bkpcp.top/js/tyjd3
明珠台,http://j.s.bkpcp.top/jj/zzt
美亚电影,http://j.s.bkpcp.top/js/mydy4
翡翠台,http://j.s.bkpcp.top/jj/fct
龙华洋片,http://j.s.bkpcp.top/js/lhyp
龙华偶像,http://j.s.bkpcp.top/js/lhox
天映经典,http://j.s.bkpcp.top/js/tyjd5
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
Astro QJ,http://j.s.bkpcp.top/js/aqj
美亚电影,http://j.s.bkpcp.top/js/mydy
凤凰资讯,http://223.145.224.136:8000/udp/239.76.253.134:9000
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
