江苏电信组播,#genre#
CCTV1-综合HD,http://fengqiang.press:8188/rtp/239.49.8.19:9614
CCTV1-综合HD,http://fengqiang.press:8188/rtp/239.49.8.129:6000
CCTV2-财经HD,http://fengqiang.press:8188/rtp/239.49.8.50:9802
CCTV2-财经HD,http://fengqiang.press:8188/rtp/239.49.8.130:6000
CCTV3-综艺HD,http://fengqiang.press:8188/rtp/239.49.9.31:6000
CCTV4-中文国际HD,http://fengqiang.press:8188/rtp/239.49.8.51:9806
CCTV4-中文国际HD,http://fengqiang.press:8188/rtp/239.49.8.131:6000
CCTV5-体育,http://fengqiang.press:8188/rtp/239.49.0.5:9570
CCTV5-体育,http://fengqiang.press:8188/rtp/239.49.1.5:6000
CCTV5-体育HD,http://fengqiang.press:8188/rtp/239.49.9.32:6000
CCTV5+体育HD,http://fengqiang.press:8188/rtp/239.49.8.18:9610
CCTV5+体育赛事HD,http://fengqiang.press:8188/rtp/239.49.8.137:6000
CCTV6-电影HD,http://fengqiang.press:8188/rtp/239.49.9.33:6000
CCTV7-国防军事HD,http://fengqiang.press:8188/rtp/239.49.8.52:9810
CCTV8-电视剧HD,http://fengqiang.press:8188/rtp/239.49.9.34:6000
CCTV9-纪录HD,http://fengqiang.press:8188/rtp/239.49.8.53:9814
CCTV9-纪录HD,http://fengqiang.press:8188/rtp/239.49.8.133:6000
CCTV10-科教HD,http://fengqiang.press:8188/rtp/239.49.8.54:9818
CCTV10-科教HD,http://fengqiang.press:8188/rtp/239.49.8.134:6000
CCTV11-戏曲,http://fengqiang.press:8188/rtp/239.49.1.11:6000
CCTV12-社会与法HD,http://fengqiang.press:8188/rtp/239.49.8.55:9822
CCTV12-社会与法HD,http://fengqiang.press:8188/rtp/239.49.8.135:6000
CCTV13-新闻HD,http://fengqiang.press:8188/rtp/239.49.9.43:6000
CCTV14-少儿HD,http://fengqiang.press:8188/rtp/239.49.8.56:9826
CCTV14-少儿HD,http://fengqiang.press:8188/rtp/239.49.8.136:6000
CCTV15-音乐,http://fengqiang.press:8188/rtp/239.49.0.15:8112
CCTV17-农业农村HD,http://fengqiang.press:8188/rtp/239.49.8.132:6000
CETV1HD,http://fengqiang.press:8188/rtp/239.49.8.189:6000

CCTV第一剧场HD,http://fengqiang.press:8188/rtp/239.49.9.15:6000
CCTV风云剧场HD,http://fengqiang.press:8188/rtp/239.49.9.10:6000
CCTV怀旧剧场HD,http://fengqiang.press:8188/rtp/239.49.9.12:6000
CCTV风云音乐HD,http://fengqiang.press:8188/rtp/239.49.9.13:6000
CCTV兵器科技HD,http://fengqiang.press:8188/rtp/239.49.9.9:6000
CCTV风云足球HD,http://fengqiang.press:8188/rtp/239.49.9.6:6000
高尔夫球HD,http://fengqiang.press:8188/rtp/239.49.9.7:6000
CCTV电视指南HD,http://fengqiang.press:8188/rtp/239.49.9.5:6000
CCTV女性时尚HD,http://fengqiang.press:8188/rtp/239.49.9.14:6000
CCTV世界地理HD,http://fengqiang.press:8188/rtp/239.49.9.8:6000
CCTV央视台球HD,http://fengqiang.press:8188/rtp/239.49.9.22:6000
CCTV央视文化精品HD,http://fengqiang.press:8188/rtp/239.49.9.11:6000
安徽卫视HD,http://fengqiang.press:8188/rtp/239.49.8.204:6000
北京卫视HD,http://fengqiang.press:8188/rtp/239.49.8.11:9414
北京卫视HD,http://fengqiang.press:8188/rtp/239.49.8.141:6000
东方卫视HD,http://fengqiang.press:8188/rtp/239.49.8.17:9606
东方卫视HD,http://fengqiang.press:8188/rtp/239.49.8.140:6000
东南卫视HD,http://fengqiang.press:8188/rtp/239.49.8.186:6000
广东卫视HD,http://fengqiang.press:8188/rtp/239.49.8.13:9422
广东卫视HD,http://fengqiang.press:8188/rtp/239.49.8.143:6000
广西卫视HD,http://fengqiang.press:8188/rtp/239.49.8.209:6000
贵州卫视HD,http://fengqiang.press:8188/rtp/239.49.8.174:6000
海南卫视HD,http://fengqiang.press:8188/rtp/239.49.8.212:6000
河北卫视HD,http://fengqiang.press:8188/rtp/239.49.8.188:6000
河南卫视HD,http://fengqiang.press:8188/rtp/239.49.8.197:6000
黑龙江卫视HD,http://fengqiang.press:8188/rtp/239.49.8.14:9426
黑龙江卫视HD,http://fengqiang.press:8188/rtp/239.49.8.144:6000
湖北卫视HD,http://fengqiang.press:8188/rtp/239.49.8.8:9632
湖北卫视HD,http://fengqiang.press:8188/rtp/239.49.8.147:6000
湖南卫视HD,http://fengqiang.press:8188/rtp/239.49.8.12:9418
湖南卫视HD,http://fengqiang.press:8188/rtp/239.49.8.142:6000
吉林卫视HD,http://fengqiang.press:8188/rtp/239.49.8.187:6000
江苏卫视HD,http://fengqiang.press:8188/rtp/239.49.8.16:9602
江苏卫视HD,http://fengqiang.press:8188/rtp/239.49.8.138:6000
江西卫视HD,http://fengqiang.press:8188/rtp/239.49.8.185:6000
辽宁卫视HD,http://fengqiang.press:8188/rtp/239.49.8.48:8000
辽宁卫视HD,http://fengqiang.press:8188/rtp/239.49.8.173:6000
山东卫视HD,http://fengqiang.press:8188/rtp/239.49.8.7:9306
山东卫视HD,http://fengqiang.press:8188/rtp/239.49.8.146:6000
深圳卫视HD,http://fengqiang.press:8188/rtp/239.49.8.15:9430
深圳卫视HD,http://fengqiang.press:8188/rtp/239.49.8.145:6000
四川卫视HD,http://fengqiang.press:8188/rtp/239.49.8.184:6000
天津卫视HD,http://fengqiang.press:8188/rtp/239.49.8.35:8620
天津卫视HD,http://fengqiang.press:8188/rtp/239.49.8.148:6000
重庆卫视HD,http://fengqiang.press:8188/rtp/239.49.8.57:9830
重庆卫视HD,http://fengqiang.press:8188/rtp/239.49.8.149:6000
云南卫视HD,http://fengqiang.press:8188/rtp/239.49.8.227:6000
浙江卫视HD,http://fengqiang.press:8188/rtp/239.49.8.20:9618
浙江卫视HD,http://fengqiang.press:8188/rtp/239.49.8.139:6000

CCTV1-综合,http://fengqiang.press:8188/rtp/239.49.0.1:8000
CCTV1-综合,http://fengqiang.press:8188/rtp/239.49.1.1:6000
CCTV2-财经,http://fengqiang.press:8188/rtp/239.49.0.2:8008
CCTV2-财经,http://fengqiang.press:8188/rtp/239.49.1.2:6000
CCTV3-综艺,http://fengqiang.press:8188/rtp/239.49.0.3:9566
CCTV3-综艺,http://fengqiang.press:8188/rtp/239.49.0.3:9566
CCTV3-综艺,http://fengqiang.press:8188/rtp/239.49.1.3:6000
CCTV4-中文国际,http://fengqiang.press:8188/rtp/239.49.0.4:8024
CCTV4-中文国际,http://fengqiang.press:8188/rtp/239.49.1.4:6000
CCTV6-电影,http://fengqiang.press:8188/rtp/239.49.0.6:9574
CCTV6-电影,http://fengqiang.press:8188/rtp/239.49.0.6:9574
CCTV6-电影,http://fengqiang.press:8188/rtp/239.49.1.6:6000
CCTV7-国防军事,http://fengqiang.press:8188/rtp/239.49.0.7:8048
CCTV7-国防军事,http://fengqiang.press:8188/rtp/239.49.1.254:6000
CCTV8-电视剧,http://fengqiang.press:8188/rtp/239.49.0.8:9578
CCTV8-电视剧,http://fengqiang.press:8188/rtp/239.49.0.8:9578
CCTV8-电视剧,http://fengqiang.press:8188/rtp/239.49.1.8:6000
CCTV10-科教,http://fengqiang.press:8188/rtp/239.49.1.10:6000
CCTV10-科教,http://fengqiang.press:8188/rtp/239.49.0.10:8072
CCTV11-戏曲,http://fengqiang.press:8188/rtp/239.49.0.11:8080
CCTV12-社会与法,http://fengqiang.press:8188/rtp/239.49.1.12:6000
CCTV12-社会与法,http://fengqiang.press:8188/rtp/239.49.0.12:8088
CCTV13-新闻,http://fengqiang.press:8188/rtp/239.49.1.13:6000
CCTV13,http://fengqiang.press:8188/rtp/239.49.0.13:8096
CCTV14-少儿,http://fengqiang.press:8188/rtp/239.49.1.14:6000
CCTV14-少儿,http://fengqiang.press:8188/rtp/239.49.0.14:8104
CCTV15-音乐,http://fengqiang.press:8188/rtp/239.49.1.15:6000
CCTV17-农业农村,http://fengqiang.press:8188/rtp/239.49.1.7:6000
CCTV第一剧场,http://fengqiang.press:8188/rtp/239.49.1.226:6000
CCTV第一剧场,http://fengqiang.press:8188/rtp/239.49.0.44:8000
CCTV风云剧场,http://fengqiang.press:8188/rtp/239.49.1.65:6000
CCTV风云剧场,http://fengqiang.press:8188/rtp/239.49.0.152:9210
CCTV怀旧剧场,http://fengqiang.press:8188/rtp/239.49.1.67:6000
CCTV怀旧剧场,http://fengqiang.press:8188/rtp/239.49.0.157:9250
CCTV风云音乐,http://fengqiang.press:8188/rtp/239.49.1.68:6000
CCTV风云音乐,http://fengqiang.press:8188/rtp/239.49.0.151:9202
CCTV兵器科技,http://fengqiang.press:8188/rtp/239.49.1.64:6000
CCTV风云足球,http://fengqiang.press:8188/rtp/239.49.1.61:6000
CCTV风云足球,http://fengqiang.press:8188/rtp/239.49.0.153:9218
高尔夫网球,http://fengqiang.press:8188/rtp/239.49.0.154:9226
CCTV电视指南,http://fengqiang.press:8188/rtp/239.49.1.60:6000
CCTV电视指南,http://fengqiang.press:8188/rtp/239.49.0.161:9282
CCTV女性时尚,http://fengqiang.press:8188/rtp/239.49.1.69:6000
CCTV女性时尚,http://fengqiang.press:8188/rtp/239.49.0.159:9266
CCTV世界地理,http://fengqiang.press:8188/rtp/239.49.1.63:6000
CCTV世界地理,http://fengqiang.press:8188/rtp/239.49.0.155:9234
CCTV央视文化精品,http://fengqiang.press:8188/rtp/239.49.1.66:6000
CCTV央广购物,http://fengqiang.press:8188/rtp/239.49.1.115:6000
CCTV央广购物,http://fengqiang.press:8188/rtp/239.49.0.110:9014
CCTV高网,http://fengqiang.press:8188/rtp/239.49.1.62:6000

CCTV央视文化精品,http://fengqiang.press:8188/rtp/239.49.0.156:9242
CETV1,http://fengqiang.press:8188/rtp/239.49.1.54:6000
CETV1,http://fengqiang.press:8188/rtp/239.49.0.70:8552
CETV2,http://fengqiang.press:8188/rtp/239.49.0.71:8560
CETV2,http://fengqiang.press:8188/rtp/239.49.1.55:6000
CETV4,http://fengqiang.press:8188/rtp/239.49.1.56:6000
CCTVNEWS,http://fengqiang.press:8188/rtp/239.49.0.9:8064

安徽卫视,http://fengqiang.press:8188/rtp/239.49.1.36:6000
安徽卫视,http://fengqiang.press:8188/rtp/239.49.0.52:8408
北京卫视,http://fengqiang.press:8188/rtp/239.49.1.33:6000
