更新时间,#genre#
2025-10-18 15:02:19,url
央视频道,#genre#:
CCTV-1 综合,http://114.104.182.52:8688/udp/238.1.78.166:7200
CCTV-1 综合,http://114.104.183.57:8688/udp/238.1.78.166:7200
CCTV-1 综合,http://60.168.231.103:2000/udp/238.1.78.166:7200
CCTV-2 财经,http://60.168.231.103:2000/udp/238.1.78.235:7752
CCTV-3 综艺,http://114.104.182.52:8688/udp/238.1.78.170:7232
CCTV-3 综艺,http://60.168.231.103:2000/udp/238.1.78.170:7232
CCTV-4 中文国际,http://60.168.231.103:2000/udp/238.1.78.236:7760
CCTV-5 体育,http://183.165.36.48:4022/udp/238.1.78.171:7240
CCTV-5 体育,http://60.168.231.103:2000/udp/238.1.78.171:7240
CCTV-5+体育赛事,http://60.168.231.103:2000/udp/238.1.78.237:7768
CCTV-6 电影,http://114.104.183.57:8688/udp/238.1.78.172:7248
CCTV-6 电影,http://114.104.182.52:8688/udp/238.1.78.172:7248
CCTV-6 电影,http://60.168.231.103:2000/udp/238.1.78.172:7248
CCTV-7 国防军事,http://60.168.231.103:2000/udp/238.1.78.239:7784
CCTV-8 电视剧,http://114.104.183.57:8688/udp/238.1.78.173:7256
CCTV-8 电视剧,http://60.168.231.103:2000/udp/238.1.78.173:7256
CCTV-9 记录,http://183.165.36.48:4022/udp/238.1.78.240:7792
CCTV-9 记录,http://114.104.183.57:8688/udp/238.1.78.240:7792
CCTV-9 记录,http://60.168.231.103:2000/udp/238.1.78.240:7792
CCTV-10 科教,http://183.165.36.48:4022/udp/238.1.78.241:7800
CCTV-10 科教,http://60.168.231.103:2000/udp/238.1.78.241:7800
CCTV-10 科教,http://114.104.183.6:8688/udp/238.1.78.241:7800
CCTV-11 戏曲,http://60.168.231.103:2000/udp/238.1.78.206:7502
CCTV-11 戏曲,http://114.104.183.6:8688/udp/238.1.78.206:7502
CCTV-12 社会与法,http://60.168.231.103:2000/udp/238.1.78.242:7808
CCTV-13 新闻,http://114.104.182.52:8688/udp/238.1.79.35:4392
CCTV-13 新闻,http://60.168.231.103:2000/udp/238.1.79.35:4392
CCTV-14 少儿,http://183.165.36.48:4022/udp/238.1.78.243:7816
CCTV-14 少儿,http://114.104.183.57:8688/udp/238.1.78.243:7816
CCTV-14 少儿,http://60.168.231.103:2000/udp/238.1.78.243:7816
CCTV-15 音乐,http://60.168.231.103:2000/udp/238.1.78.222:7648
CCTV-17 农业农村,http://114.104.183.6:8688/udp/238.1.78.178:7296
CCTV世界地理,http://114.104.182.52:8688/udp/238.1.79.60:4616
CCTV世界地理,http://60.168.231.103:2000/udp/238.1.79.60:4616
CCTV世界地理,http://114.104.183.6:8688/udp/238.1.79.60:4616
CCTV兵器科技,http://60.168.231.103:2000/udp/238.1.79.56:4584
CCTV央视台球,http://60.168.231.103:2000/udp/238.1.79.59:4608
CCTV女性时尚,http://114.104.182.52:8688/udp/238.1.79.55:4576
CCTV女性时尚,http://60.168.231.103:2000/udp/238.1.79.55:4576
CCTV怀旧剧场,http://60.168.231.103:2000/udp/238.1.79.61:4624
CCTV电视指南,http://60.168.231.103:2000/udp/238.1.79.53:4560
CCTV第一剧场,http://183.165.36.48:4022/udp/238.1.79.63:4640
CCTV第一剧场,http://114.104.183.57:8688/udp/238.1.79.63:4640
CCTV风云剧场,http://60.168.231.103:2000/udp/238.1.79.62:4632
CCTV风云足球,http://114.104.182.52:8688/udp/238.1.79.57:4592
CCTV风云足球,http://60.168.231.103:2000/udp/238.1.79.57:4592
CCTV风云足球,http://114.104.183.57:8688/udp/238.1.79.57:4592
CCTV风云音乐,http://60.168.231.103:2000/udp/238.1.79.64:4648
CCTV高尔夫网球,http://183.165.36.48:4022/udp/238.1.79.58:4600
CCTV高尔夫网球,http://114.104.183.57:8688/udp/238.1.79.58:4600
CCTV高尔夫网球,http://60.168.231.103:2000/udp/238.1.79.58:4600

卫视频道,#genre#:
东方卫视,http://183.165.36.48:4022/udp/238.1.78.163:7176
东方卫视,http://114.104.182.52:8688/udp/238.1.78.163:7176
云南卫视,http://183.165.36.48:4022/udp/238.1.78.89:6584
兵团卫视,http://183.165.36.48:4022/udp/238.1.78.104:6704
北京卫视,http://114.104.183.57:8688/udp/238.1.78.162:7168
四川卫视,http://114.104.183.6:8688/udp/238.1.78.30:6168
四川卫视,http://60.168.231.103:2000/udp/238.1.78.30:6168
天津卫视,http://114.104.183.57:8688/udp/238.1.78.20:6088
天津卫视,http://114.104.183.6:8688/udp/238.1.78.20:6088
安徽卫视,http://114.104.182.52:8688/udp/238.1.78.150:7072
安徽卫视,http://60.168.231.103:2000/udp/238.1.78.150:7072
