更新时间,#genre#
2025-09-08 07:39:30,url
央视频道,#genre#:
CCTV-1 综合,http://114.104.182.113:8688/udp/238.1.78.166:7200
CCTV-1 综合,http://60.168.231.199:2000/udp/238.1.78.166:7200
CCTV-1 综合,http://223.243.244.22:8878/udp/238.1.78.166:7200
CCTV-2 财经,http://114.104.182.113:8688/udp/238.1.78.235:7752
CCTV-2 财经,http://60.168.231.199:2000/udp/238.1.78.235:7752
CCTV-3 综艺,http://114.104.182.113:8688/udp/238.1.78.170:7232
CCTV-3 综艺,http://60.168.231.199:2000/udp/238.1.78.170:7232
CCTV-3 综艺,http://223.243.244.22:8878/udp/238.1.78.170:7232
CCTV-4 中文国际,http://114.104.182.113:8688/udp/238.1.78.236:7760
CCTV-4 中文国际,http://60.168.231.199:2000/udp/238.1.78.236:7760
CCTV-5 体育,http://60.168.231.199:2000/udp/238.1.78.171:7240
CCTV-5+体育赛事,http://60.168.231.199:2000/udp/238.1.78.237:7768
CCTV-6 电影,http://223.243.244.22:8878/udp/238.1.78.172:7248
CCTV-6 电影,http://60.168.231.199:2000/udp/238.1.78.172:7248
CCTV-7 国防军事,http://114.104.182.113:8688/udp/238.1.78.239:7784
CCTV-7 国防军事,http://60.168.231.199:2000/udp/238.1.78.239:7784
CCTV-8 电视剧,http://223.243.244.22:8878/udp/238.1.78.173:7256
CCTV-8 电视剧,http://60.168.231.199:2000/udp/238.1.78.173:7256
CCTV-9 记录,http://114.104.182.113:8688/udp/238.1.78.240:7792
CCTV-9 记录,http://60.168.231.199:2000/udp/238.1.78.240:7792
CCTV-10 科教,http://114.104.182.113:8688/udp/238.1.78.241:7800
CCTV-10 科教,http://60.168.231.199:2000/udp/238.1.78.241:7800
CCTV-11 戏曲,http://60.168.231.199:2000/udp/238.1.78.206:7502
CCTV-12 社会与法,http://60.168.231.199:2000/udp/238.1.78.242:7808
CCTV-13 新闻,http://60.168.231.199:2000/udp/238.1.79.35:4392
CCTV-14 少儿,http://60.168.231.199:2000/udp/238.1.78.243:7816
CCTV-15 音乐,http://60.168.231.199:2000/udp/238.1.78.222:7648
CCTV世界地理,http://60.168.231.199:2000/udp/238.1.79.60:4616
CCTV兵器科技,http://60.168.231.199:2000/udp/238.1.79.56:4584
CCTV央视台球,http://223.243.244.22:8878/udp/238.1.79.59:4608
CCTV央视台球,http://60.168.231.199:2000/udp/238.1.79.59:4608
CCTV央视文化精品,http://60.168.231.199:2000/udp/238.1.79.54:4568
CCTV女性时尚,http://60.168.231.199:2000/udp/238.1.79.55:4576
CCTV怀旧剧场,http://60.168.231.199:2000/udp/238.1.79.61:4624
